date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:53:30	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Mon,%2015%20Sep%202025%2018:23:30%20GMT	https://twqiuwe.z30.web.core.windows.net/robots.txt		(from )
23:53:31	17527/17527	---M--	200	added ('OK')	text/html	etag:%220x8DDF478E1C34502%22	https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/?bcda=1-844-737-3342	C:/My%20Web%20Sites/apple%20pop/twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/indexb1b8.html	(from )
23:53:34	71002/71002	---M--	200	added ('OK')	text/css	etag:%220x8DDF478E1B1CC78%22	https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/Base.css	C:/My%20Web%20Sites/apple%20pop/twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/Base.css	(from https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/?bcda=1-844-737-3342)
23:53:35	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Mon,%2015%20Sep%202025%2018:23:35%20GMT	https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/fonts/_families%3dSF+Pro%2cv1_7CSF+Pro+Icons%2cv1html.html	C:/My%20Web%20Sites/apple%20pop/twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/fonts/_families=SF+Pro,v1_7CSF+Pro+Icons,v1html.1.delayed	(from https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/?bcda=1-844-737-3342)
23:53:38	2506/2506	---M--	200	added ('OK')	text/javascript	etag:%220x8DDF478E1CDE792%22	https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/text_tel.js	C:/My%20Web%20Sites/apple%20pop/twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/text_tel.js	(from https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/?bcda=1-844-737-3342)
23:53:41	198196/198196	---M--	200	added ('OK')	image/jpeg	etag:%220x8DDF478E2A35A18%22	https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/apple/contact-us-hero.image.large_2x.jpg	C:/My%20Web%20Sites/apple%20pop/twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/apple/contact-us-hero.image.large_2x.jpg	(from https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/?bcda=1-844-737-3342)
23:53:43	70802/70802	---M--	200	added ('OK')	image/jpeg	etag:%220x8DDF478E2AD87C7%22	https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/apple/contact-us-hero.image.small_2x.jpg	C:/My%20Web%20Sites/apple%20pop/twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/apple/contact-us-hero.image.small_2x.jpg	(from https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/?bcda=1-844-737-3342)
23:53:44	741/741	---M--	200	added ('OK')	image/png	etag:%220x8DDF478E2B56E24%22	https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/apple/us.png	C:/My%20Web%20Sites/apple%20pop/twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/apple/us.png	(from https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/?bcda=1-844-737-3342)
23:53:47	97362/97362	---M--	200	added ('OK')	text/javascript	etag:%220x8DDF478E2887640%22	https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/code.jquery.com/jquery-1.12.0.min.js	C:/My%20Web%20Sites/apple%20pop/twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/code.jquery.com/jquery-1.12.0.min.js	(from https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/?bcda=1-844-737-3342)
23:53:49	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Mon,%2015%20Sep%202025%2018:23:50%20GMT	https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/apple/image_large.html	C:/My%20Web%20Sites/apple%20pop/twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/apple/image_large.7.delayed	(from https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/Base.css)
